REP,DOC,PLAN_CALLS
AEGA-8OKA3V,AEGA-5797XV,3
AEGA-8OM3JB,AEGA-5798K1,12
AIJA-NGZHCO,AEGA-579U94,1
AIJA-201VQD,AEGA-57417L,2
AIJA-201VQD,AEGA-577F50,4
AIJA-H30A51,AEGA-579X57,3
AEGA-8OKA3V,AEGA-57A3TI,3
AIJA-NGZHCO,AEGA-57E3ZS,3
AEGA-8OM3JB,AEGA-57AOU8,6
AIJA-201VQD,AEGA-576PUC,4
AEGA-56WEHD,AEGA-57BN1F,8
AIJA-H30A51,AEGA-579897,4
AIJA-H30A51,AEGA-57A91M,3
AIJA-201VQD,AEGA-57D2DP,3
AEGA-56WEHD,AEGA-57AVJJ,10
AEGA-8OM3JB,AEGA-579DEN,9
AIJA-201VQD,AEGA-5JS6DA,2
AEGA-56WEHD,AIJA-3KK3D9,5
AIJA-201VQD,AEGA-5779DT,3
AIJA-GO6K8T,AEGA-57CMC9,6
AIJA-201VQD,AEGA-5740MD,5
AIJA-201VQD,AIJA-7A1ZHE,3
AEGA-8OKA3V,AEGA-579CP9,4
AEGA-56WEHD,AEGA-57BQNK,8
AIJA-201VQD,AEGA-57E3JL,3
AIJA-GO6K8T,AEGA-57AVRC,1
AEGA-56WEHN,AEGA-57D0LY,2
AEGA-8OKA3V,AEGA-57BWRN,8
AIJA-GLRI1,AIJA-1BMSMJ,3
AIJA-GO6K8T,AEGA-579N7X,3
AIJA-GO6K8T,AEGA-57AJ0H,6
AEGA-56WEHN,AIJA-8NRI1O,6
AEGA-6N7PT5,AEGA-6EGVPR,6
AEGA-8OM3JB,AEGA-57D9VH,1
AIJA-NGZHCO,AEGA-57D3AX,1
AIJA-GO6K8T,AEGA-57AAVQ,3
AEGA-8OKA3V,AEGA-5798O8,2
AIJA-GO6K8T,AEGA-57ATIQ,9
AEGA-8OKA3V,AEGA-579F2N,2
AIJA-GLRI1,AEGA-579OD5,3
AEGA-8OKA3V,AEGA-57A4JU,3
AIJA-GLRI1,AEGA-57AT25,3
AIJA-GO6K8T,AEGA-579UW4,3
AIJA-GO6K8T,AEGA-57CUIZ,3
AIJA-NGZHCO,AEGA-57966M,4
AIJA-NGZHDP,AEGA-579HPI,1
AIJA-GO6K8T,AEGA-579UJX,3
AEGA-8OM3JB,AEGA-5798K6,9
AIJA-H30A51,AIJA-4AM50S,1
AIJA-H30A51,AEGA-57ANQE,3
AIJA-NGZHCO,AEGA-57AOTJ,4
AIJA-GO6K8T,AEGA-579V2X,9
AIJA-201VQD,AEGA-579B15,12
AEGA-8OKA3V,AEGA-579PWT,3
AEGA-8OKA3V,AEGA-5793EM,10
AIJA-201VQD,AEGA-579YJ2,1
AIJA-201VQD,AEGA-577D1D,2
AIJA-GO6K8T,AIJA-6U9SIM,1
AIJA-H30A51,AIJA-MU0NL,3
AIJA-GLRI1,AEGA-579WPU,3
AIJA-H30A51,AEGA-57939K,3
AEGA-8OKA3V,AEGA-57EA31,3
AIJA-NHMIIH,AEGA-57EANL,3
AEGA-56WEHN,AEGA-579U99,4
AIJA-GLRI1,AEGA-57D6GR,3
AIJA-201VQD,AEGA-573SO3,2
AIJA-201VQD,AEGA-579UUT,6
AIJA-201VQD,AEGA-57A0XY,9
AIJA-NGZHDP,AEGA-57A3XZ,2
AEGA-8OM3JB,AEGA-579PJV,3
AIJA-GO6K8T,AEGA-7U92UX,6
AIJA-NGZH79,AEGA-8Z2QSI,3
AEGA-8OKA3V,AIJA-K8BBW4,1
AIJA-NGZHDP,AEGA-57E1L1,1
AEGA-56WEHD,AEGA-57BZ34,8
AIJA-H30A51,AEGA-579QY0,2
AEGA-56WEHD,AEGA-57D2FW,3
AIJA-201VQD,AIJA-GCGATB,4
AIJA-201VQD,AEGA-573YVO,4
AIJA-NGZHDP,AEGA-57CDIZ,2
AEGA-56WEHN,AEGA-57CYO0,2
AIJA-GO6K8T,AEGA-57AJNG,12
AIJA-H30A51,AEGA-57A6HL,1
AEGA-6N7PT5,AEGA-57C21H,6
AEGA-8OM3JB,AEGA-57D8UU,3
